File,Project / Dam,Owner / Operator,"Location (County, City, River)",Generation Capacity,Plant Type (Run-of-river / Peaking),Licensing / Authorization Date,Key Stakeholders,Project Costs,Migratory Fish Species
BigBend_WCM_2018.pdf,Big Bend Dam (Lake Sharpe),USACE Omaha District; WAPA,"Buffalo & Lyman Cos., SD; Missouri River RM 987.4",538 MW,Peaking,Flood Control Act (1944); built 1959–66,"USACE, WAPA, USFWS, SD, Tribes",Not specified,"Pallid sturgeon, least tern, piping plover"
Bonneville_Dam_Manual_2014.pdf,Bonneville Dam,USACE Portland District; BPA,"Columbia River, OR/WA border",?518 MW,Peaking + navigation,National Industrial Recovery Act (1933); River & Harbor Act (1935),"USACE, BPA, fisheries agencies",$83.25M (1958),"Chinook, coho, sockeye, steelhead, lamprey, shad, sturgeon"
DaleHollow_WCM_2021.pdf,Dale Hollow Dam,USACE Nashville District; SEPA/TVA,"Clay Co., TN; Obey River mile 7.3",54 MW,Multipurpose,Flood Control Act (1938); River & Harbor Act (1946),"USACE, SEPA, TVA, USFWS, state/local",Not specified,Cumberland basin fish
FortPeck_WCM_2018.pdf,Fort Peck Dam,USACE Omaha District; WAPA,"McCone Co., MT; Missouri River",185 MW,Multipurpose,Authorized 1933; Flood Control Act (1944),"USACE, WAPA, USFWS, Montana FWP, Tribes",Not specified,"Least tern, piping plover; walleye, sauger, paddlefish, sturgeon, mussels"
Grand Coulee WCM.pdf,Grand Coulee Dam (Lake Roosevelt),Bureau of Reclamation; coordinated with USACE & BPA,"Columbia River, WA","6,180 MW (7,002.5 MW overload)",Multipurpose,Rivers & Harbors Act (1935); Columbia Basin Project Act (1948),"BOR, USACE, BPA, NPCC, USFWS, Canada, States",Not specified,Salmonids blocked; hatchery mitigation
LaurelRiver_WCM_2017.pdf,Laurel River Dam,USACE Nashville District; EKPC (power); PJM/ACES scheduling,"Laurel & Whitley Cos., KY; Laurel River mile 2.3",61 MW,Hydropower + recreation,Flood Control Act (1960); PL 99-283 (1963),"USACE, EKPC, PJM, ACES, USFS, SEPA",Not specified,ESA/FWCA protections
P201_License_20030827.pdf,Blind Slough Project (AK),Petersburg Municipal Power & Light,"Crystal Creek, Mitkof Island, AK",2 MW,Seasonal storage,"Relicensed Aug 27, 2003 (30 yrs)",Petersburg P&L; FERC; ADF&G; NMFS; USFWS,~$164k O&M; ~$605k net benefit,"Pink, chum, coho salmon"
P308_License_20170105.pdf,Wallowa Falls Project (OR),PacifiCorp Energy,"Wallowa Co., OR; East Fork Wallowa River",1.1 MW,Run-of-river,"Relicensed Jan 5, 2017 (30 yrs)",PacifiCorp; USFS; OR DFW/DEQ/WRD; USFWS,Not specified,"Bull trout (ESA); potential Chinook, coho"
P349_License_20151217.pdf,Martin Dam Project (AL),Alabama Power Co.,"Tallapoosa River, AL",182.5 MW,Peaking,"Relicensed Dec 17, 2015 (30 yrs)",Alabama Power; FERC; USFWS; AL & GA agencies; Tribes,Not specified,"ESA mussels, sturgeon, red-cockaded woodpecker"
P420_License_20000829.pdf,Ketchikan Lakes Project (AK),City of Ketchikan (KPU),"Ketchikan Creek & Granite Basin Creek, AK",4.2 MW,Base load,"Relicensed Aug 29, 2000 (30 yrs)",KPU; FERC; NMFS; USFWS; ADF&G; USFS,~$595k annual cost; ~$860k net benefit,"Salmonids (fish ladder, habitat enhancements)"
P620_License_20060208.pdf,Chignik Project (AK),"NorQuest Seafoods, Inc.","Indian Creek, Lake & Peninsula Borough, AK",60 kW,Run-of-river,"Relicensed Feb 8, 2006 (30 yrs)",NorQuest; FERC; NOAA Fisheries; USFWS; AK DFG/DNR,~$29k annual cost; ~$31k value,Salmon spawning (Indian Creek); ESA: Steller’s eider
P925_License_20080430.pdf,Ottumwa Project (IA),"City of Ottumwa, Iowa","Des Moines River, Wapello Co., IA",3.2 MW (3 units),Run-of-river (±0.5 ft band),"New license Apr 30, 2008 (30 yrs)",City of Ottumwa; FERC; Iowa DNR; DOI; USFWS,"~$599,934 annual cost; ~$626,846 value","Freshwater mussels; ESA county species (orchid, clover, Indiana bat; no effect)"
P1051_License_20070817.pdf,Skagway–Dewey Lakes Project (AK),Alaska Power & Telephone Co. (AP&T),"Skagway; Reid Falls, Dewey, Icy, Snyder & Pullen Creeks, AK",943 kW,Run-of-river,"New license Aug 17, 2007 (30 yrs)",AP&T; FERC; ADF&G; NPS; USFWS; NMFS; City of Skagway,~$112k annual cost; ~$714k value; ~$602k net benefit,Salmonids; Chinook support via Pullen Creek hatchery
P1235_License_19890531.pdf,"Municipal Hydroelectric (Radford, VA)","City of Radford, VA","Little River, Montgomery & Pulaski Cos., VA",1.2 MW,Run-of-river,"New license May 31, 1989 (30 yrs)",City of Radford; FERC; USFWS; VGIF; USGS,~$30k annual O&M; ~$150k savings,"Warmwater fish (bass, darters, minnows, suckers)"
P1432_License_19900611.pdf,Dry Spruce Bay Project (AK),Wards Cove Packing Company,"Dry Spruce Bay, Kodiak Island Borough, AK",75 kW,"Seasonal RoR (Apr–Sep), small storage","Subsequent license Jun 11, 1990 (30 yrs)",Wards Cove; FERC; BLM; USFWS; NMFS; AK DNR; AK SHPO,Not specified; ~300 MWh/yr; diesel displacement,No anadromous fish in watershed; Kodiak brown bear present
P1494_License_19920424.pdf,Pensacola (Grand Lake O’ the Cherokees),Grand River Dam Authority (GRDA),"Grand (Neosho) River, OK; Craig, Delaware, Mayes, Ottawa Cos.",?86.9 MW (6×14.4 + 0.5 MW),Storage / peaking,"New license Apr 24, 1992 (30 yrs)",GRDA; FERC; USFWS; ODWC; The Nature Conservancy; USACE,~$87k capital; ~$10k annual O&M,Reservoir sport fish; ESA/bald eagle & gray bat protections
P1651_License_19971219.pdf,Swift Creek Project (WY),"Swift Creek Power Company, Inc.","Swift Creek (Salt River trib.), Lincoln Co., WY",1.5 MW (0.8 + 0.7),Run-of-river w/ min flows & ramping,"New minor license Dec 19, 1997 (50 yrs)","USFS, USFWS, WY Game & Fish, WY DEQ, USACE, Trout Unlimited, City of Afton",?$2.5M rehab; annualized ?$456k vs alt ?$164k,Trout fishery; stocking/rehab measures (no anadromous species)
P1773_License_19921015.pdf,Yellowstone Project (UT),Moon Lake Electric Association,"Duchesne Co., UT; Yellowstone River; Ashley NF",900 kW (3×300 kW),Run-of-river,"New license Oct 15, 1992 (30 yrs)",USFS; USFWS; Utah DWR; Utah SHPO; Ute Tribe,Replacement cost ? $340k/yr; ~5.4 GWh/yr,Trout; bald eagle occasional
P1922_License_19941107.pdf,Beaver Falls Project (AK),Ketchikan Public Utilities (KPU),"Beaver Falls Creek, AK; Tongass NF",7.1 MW (Silvis 2.1 + Beaver Falls 5),Storage + RoR,"New license Nov 7, 1994 (30 yrs)",KPU; USFS (4e); SSRAA; AK DGC; USFWS; ADF&G,~46.3 GWh/yr worth $5.8M repl.; recreation ? $165k cap + $3.5k/yr,Sockeye hatchery support; raptor/bald eagle mitigation
P1960_License_20040415.pdf,Flambeau Project (WI),Dairyland Power Cooperative,"Flambeau River, near Ladysmith, Rusk Co., WI",16.32 MW (3 units),Daily modified peaking ? modified RoR,"New license Apr 15, 2004 (exp. 2037)",WDNR; USFWS; USACE; FERC,"~71,820 MWh/yr; ~$1.45M cost vs $2.24M value","Bald eagle, gray wolf; WQC flow/erosion/invasives plans"
P2169_License_20050125.pdf,"Tapoco Project (Santeetlah, Cheoah, Calderwood, Chilhowee)","Alcoa Power Generating, Inc. (APGI)","Little Tennessee & Cheoah Rivers, NC/TN",380.1 MW,Daily peaking (TVA-integrated),"New license Jan 25, 2005 (40 yrs)",APGI; TVA; USFS; USFWS; NPS; BIA; NC & TN agencies; NGOs,?$25M net annual benefit; upgrades & mitigation funds,"ESA mussels (Appalachian elktoe), spotfin chub, madtoms, darters"
