filename,doc_type,pattern,completeness,Category
BigBend_WCM_2018.pdf,USACE manual,Seasonal,Full,Correct
Bonneville Dam Reservoir Regulation Manual_OCT2014_Redacted.pdf,USACE manual,Seasonal,Full,Correct
DaleHollow_WCM_2021.pdf,USACE manual,Seasonal,Full,Correct
FortPeck_WCM_2018.pdf,USACE manual,Seasonal,Wrong,Wrong
Grand Coulee WCM.pdf,USACE manual,Constant,Full,Correct
LaurelRiver_WCM_2017.pdf,USACE manual,Seasonal,Wrong,Wrong
P10198_License_19880427.pdf,FERC license,Conditional,Full,Correct
P10228_License_19910621.pdf,FERC license,Seasonal,Full,Correct
P10440_License_19931109.pdf,FERC license,Conditional,Full,Correct
P1051_License_20070817.pdf,FERC license,Seasonal,Full,Correct
P10773_License_19900131.pdf,FERC license,Constant,Full,Correct
P10813_License_19920925.pdf,FERC license,Constant,Wrong,Wrong
P10853_License_19911205.pdf,FERC license,Seasonal,Full,Correct
P11243_License_19971224.pdf,FERC license,Conditional,Full,Correct
P11588_License_20021015.pdf,FERC license,Conditional,Full,Correct
P11659_License_20041029.pdf,FERC license,Seasonal,Full,Correct
P11841_License_20090317.pdf,FERC license,Seasonal,Full,Correct
P1235_License_19890531.pdf,FERC license,Constant,Full,Correct
P12379_License_20031224.pdf,FERC license,Conditional,Wrong,Wrong
P12775_License_20110421.pdf,FERC license,Constant,Full,Correct
P13124_License_20130801.pdf,FERC license,Constant,Full,Correct
P13526_License_20100819.pdf,FERC license,Constant,Value-only,Correct
P14066_License_20130129.pdf,FERC license,Conditional,Full,Correct
P1432_License_19900611.pdf,FERC license,Constant,Full,Correct
P1494_License_19920424.pdf,FERC license,Constant,Wrong,Wrong
P1773_License_19921015.pdf,FERC license,Seasonal,Wrong,Wrong
P1922_License_19941107.pdf,FERC license,Seasonal,Full,Correct
P1960_License_20040415.pdf,FERC license,Conditional,Full,Correct
P201_License_20030827.pdf,FERC license,Constant,Full,Correct
P2169_License_20050125.pdf,FERC license,Seasonal,Full,Correct
P2170_License_20070824.pdf,FERC license,Constant,Full,Correct
P2230_License_20070710.pdf,FERC license,Seasonal,Full,Correct
P2232_License_20151125.pdf,FERC license,Conditional,Full,Correct
P2307_License_20180206.pdf,FERC license,Conditional,Full,Correct
P2373_License_19930930.pdf,FERC license,Seasonal,Full,Correct
P2517_License_20040512.pdf,FERC license,Conditional,Full,Correct
P2566_License_20010620.pdf,FERC license,Conditional,Wrong,Wrong
P2724_License_20011221.pdf,FERC license,Seasonal,Full,Correct
P2742_License_19780621.pdf,FERC license,Conditional,Full,Correct
P2743_License_19811005.pdf,FERC license,Seasonal,Full,Correct
P2972_License_19801106.pdf,FERC license,Constant,Value-only,Correct
P3015_License_19810805.pdf,FERC license,Constant,Wrong,Wrong
P3017_License_19800717.pdf,FERC license,Constant,Value-only,Correct
P308_License_20170105.pdf,FERC license,Seasonal,Wrong,Wrong
P420_License_20000829.pdf,FERC license,Conditional,Full,Correct
P620_License_20060208.pdf,FERC license,Constant,Wrong,Wrong
P7396_License_19860416.pdf,FERC license,Seasonal,Wrong,Wrong
P7828_License_19951226.pdf,FERC license,Constant,Full,Correct
P8221_License_19851231.pdf,FERC license,Seasonal,Wrong,Wrong
P925_License_20080430.pdf,FERC license,Conditional,Full,Correct
