filename,total_time_seconds,timestamp,project_name_time,owner_operator_time,location_county_time,location_city_time,location_river_time,generation_capacity_time,plant_type_time,licensing_dates_time,key_stakeholders_time,project_costs_time,migratory_fish_species_time,minimum_flow_time
BigBend_WCM_2018.pdf,252.28,2026-01-06T11:13:19.590927,18.99,14.11,19.91,12.31,5.23,22.66,5.34,17.45,5.60,20.69,17.01,5.40
Bonneville Dam Reservoir Regulation Manual_OCT2014_Redacted.pdf,190.50,2026-01-06T11:16:30.092904,5.38,13.83,11.89,12.69,5.39,31.27,5.43,10.10,5.51,27.22,29.75,8.35
DaleHollow_WCM_2021.pdf,158.17,2026-01-06T11:19:08.265102,6.20,10.37,10.81,7.25,5.93,15.02,10.97,18.17,7.03,23.10,23.15,9.72
FortPeck_WCM_2018.pdf,263.22,2026-01-06T11:23:31.484792,10.56,13.15,21.80,15.90,5.50,18.18,5.67,19.30,11.87,22.17,22.21,5.69
Grand Coulee WCM.pdf,168.54,2026-01-06T11:26:20.024138,7.56,10.68,20.17,13.96,6.95,20.17,10.19,15.06,13.40,20.19,20.18,6.28
LaurelRiver_WCM_2017.pdf,162.88,2026-01-06T11:29:02.910343,6.10,10.16,6.07,13.63,5.76,10.32,10.49,19.93,12.23,26.07,21.74,10.70
P10198_License_19880427.pdf,193.95,2026-01-06T11:32:16.864274,11.23,9.60,31.99,6.28,6.43,16.50,6.51,18.65,11.09,26.17,32.31,10.08
P10228_License_19910621.pdf,125.18,2026-01-06T11:34:22.043551,9.99,9.88,4.46,18.69,4.42,4.44,4.59,12.42,5.59,23.11,12.24,4.60
P10440_License_19931109.pdf,86.24,2026-01-06T11:35:48.290699,5.28,4.34,9.16,7.01,3.86,4.07,4.04,7.10,8.03,6.75,7.77,7.60
P1051_License_20070817.pdf,120.06,2026-01-06T11:37:48.350362,10.88,5.35,20.55,4.51,16.82,4.91,4.67,10.81,6.24,13.65,9.95,8.55
P10773_License_19900131.pdf,92.02,2026-01-06T11:39:20.368484,10.83,7.71,7.07,7.32,3.88,5.37,4.06,12.32,5.32,9.90,6.15,8.23
P10813_License_19920925.pdf,119.95,2026-01-06T11:41:20.321489,8.80,8.33,4.46,4.46,4.54,4.39,4.73,18.46,7.42,19.98,20.07,4.60
P10853_License_19911205.pdf,146.80,2026-01-06T11:43:47.121479,6.75,5.61,5.06,16.55,5.13,5.56,5.17,17.68,12.51,19.97,23.11,7.25
P11243_License_19971224.pdf,131.01,2026-01-06T11:45:58.138831,9.65,5.40,15.79,4.25,4.39,4.41,4.55,6.98,8.53,25.00,16.04,11.19
P11588_License_20021015.pdf,99.83,2026-01-06T11:47:37.967104,5.89,5.20,12.17,6.84,5.09,4.40,4.55,6.99,7.53,16.51,13.06,7.47
P11659_License_20041029.pdf,129.96,2026-01-06T11:49:47.929664,14.23,10.35,20.61,4.33,4.99,4.16,4.41,12.08,5.75,26.69,8.95,8.36
P11841_License_20090317.pdf,127.43,2026-01-06T11:51:55.361233,14.70,9.84,9.09,4.48,4.65,4.55,4.71,15.62,8.63,10.37,23.66,11.87
P1235_License_19890531.pdf,85.39,2026-01-06T11:53:20.751614,9.58,5.58,3.92,3.54,3.57,11.93,3.76,8.24,5.29,12.43,7.38,5.42
P12379_License_20031224.pdf,113.70,2026-01-06T11:55:14.453393,7.92,7.48,10.33,4.05,4.22,4.19,4.14,14.48,10.29,24.93,8.04,10.15
P12775_License_20110421.pdf,102.14,2026-01-06T11:56:56.593161,12.68,8.80,4.47,4.47,4.55,4.53,4.65,12.09,8.07,9.78,15.42,9.00
P13124_License_20130801.pdf,101.61,2026-01-06T11:58:38.202511,8.23,4.90,4.21,4.15,4.22,4.28,4.37,13.83,5.81,10.86,19.39,13.54
P13526_License_20100819.pdf,90.56,2026-01-06T12:00:08.768370,11.98,11.08,4.48,4.40,4.42,4.58,4.74,12.09,6.39,7.72,4.51,7.79
P14066_License_20130129.pdf,119.01,2026-01-06T12:02:07.779246,10.38,5.56,19.19,4.29,4.37,4.22,4.39,11.29,9.57,26.61,9.37,6.57
P1432_License_19900611.pdf,95.29,2026-01-06T12:03:43.075354,9.77,4.60,11.17,9.96,4.10,4.88,3.96,13.39,5.56,10.58,7.42,7.08
P1494_License_19920424.pdf,110.14,2026-01-06T12:05:33.221378,11.53,4.77,4.56,9.90,4.27,4.12,4.22,17.21,8.56,18.83,7.77,7.64
P1773_License_19921015.pdf,88.64,2026-01-06T12:07:01.867958,8.71,4.37,3.99,8.47,3.92,3.81,4.08,13.69,8.76,11.02,7.61,3.93
P1922_License_19941107.pdf,113.31,2026-01-06T12:08:55.181696,9.74,4.96,18.93,4.16,4.24,7.63,4.37,12.65,7.39,16.71,11.71,8.00
P1960_License_20040415.pdf,112.21,2026-01-06T12:10:47.393357,11.56,8.61,4.47,4.53,4.62,7.92,4.51,10.04,5.57,23.62,15.81,8.38
P201_License_20030827.pdf,122.71,2026-01-06T12:12:50.109747,10.02,10.09,8.89,4.59,4.51,5.20,4.51,15.51,6.31,30.96,14.26,5.71
P2169_License_20050125.pdf,146.52,2026-01-06T12:15:16.633681,6.05,7.34,5.76,15.94,6.47,17.65,4.52,13.32,7.33,17.65,26.72,8.22
P2170_License_20070824.pdf,120.62,2026-01-06T12:17:17.263588,10.17,5.08,18.99,4.45,11.56,4.56,4.43,15.95,7.83,16.70,5.47,9.54
P2230_License_20070710.pdf,117.42,2026-01-06T12:19:14.685420,8.20,5.42,7.49,4.49,4.64,14.28,4.66,12.31,6.81,19.69,6.63,17.42
P2232_License_20151125.pdf,120.20,2026-01-06T12:21:14.894065,6.03,5.43,7.42,13.35,5.41,4.56,4.60,15.58,9.77,9.31,17.27,8.48
